iter	RMSE
0	0.9631143869
1	0.9251512403
2	0.8982255759
3	0.8710542252
4	0.8511861895
5	0.8300889421
6	0.815292309
7	0.800254948
8	0.7901761942
9	0.7805512373
10	0.7700475663
11	0.7621879183
12	0.7557384481
13	0.7504516535
14	0.7431892594
15	0.739164896
16	0.732251308
17	0.7288015851
18	0.7244905975
19	0.7197212389
20	0.7166999795
21	0.7142547879
22	0.7118085833
23	0.7087184415
24	0.7064763197
25	0.7042138298
26	0.7026399873
27	0.7006772369
28	0.699011805
29	0.6965971814
30	0.6944030635
31	0.6933028648
32	0.6917836651
33	0.6908863074
34	0.6889806751
35	0.6883097536
36	0.6869285918
37	0.685679113
38	0.6848452834
39	0.683840725
40	0.6826797891
41	0.6822489526
42	0.6808851796
43	0.6805072346
44	0.6801716422
45	0.679448493
46	0.6786056115
47	0.6780161752
48	0.6773487611
49	0.6768292164
50	0.6762396849
51	0.675502963
52	0.6735240555
53	0.6726443082
54	0.6720431596
55	0.6717559647
56	0.6714910754
57	0.6705448487
58	0.6700569795
59	0.6685421208
60	0.6683763916
61	0.6679240182
62	0.6674483591
63	0.6666414979
64	0.6664275932
65	0.6660997447
66	0.6657780698
67	0.6651074702
68	0.6648850137
69	0.6645290844
70	0.6644082572
71	0.6641875766
72	0.6637546017
73	0.6630882081
74	0.6628157078
75	0.6625213366
76	0.6619567699
77	0.6615955946
78	0.6608689179
79	0.6605720413
80	0.6604530967
81	0.6602097464
82	0.6598738185
83	0.6596865983
84	0.659398158
85	0.6584288852
86	0.6576025953
87	0.6574337203
88	0.6573703624
89	0.6571627658
90	0.6568873915
91	0.65670575
92	0.6564136378
93	0.6561098128
94	0.6558032122
95	0.6551807572
96	0.6550205291
97	0.6549561635
98	0.654680397
99	0.6546383213
100	0.6539401725
101	0.6538284911
102	0.6533811021
103	0.6530582554
104	0.652816345
105	0.6527502357
106	0.6526348788
107	0.6523039531
108	0.652107756
109	0.6518138311
110	0.6514750419
111	0.6514031031
112	0.6511125412
113	0.6508884277
114	0.6507752406
115	0.6506693481
116	0.6506011193
117	0.6504448621
118	0.650021474
119	0.6495878494
120	0.6493637494
121	0.6490233773
122	0.6489348339
123	0.6488373433
124	0.648692157
125	0.6483239466
126	0.6480219993
127	0.647948021
128	0.6477713677
129	0.6476758979
130	0.6475453937
131	0.647297012
132	0.6471695783
133	0.6470785475
134	0.6468840115
135	0.6467842452
136	0.6466157321
137	0.6463628046
138	0.6462208164
139	0.6461306039
140	0.6460745007
141	0.6459744178
142	0.645797163
143	0.6455888587
144	0.6454966808
145	0.6454282073
146	0.6452144495
147	0.6450277752
148	0.644787699
149	0.6447401569
150	0.6446842264
151	0.6445152738
152	0.6443535143
153	0.6442867597
154	0.6441584249
155	0.6440363438
156	0.6438269684
157	0.6437509678
158	0.6436618607
159	0.6434680592
160	0.643297508
161	0.6431156913
162	0.6430276056
163	0.6427051971
164	0.6425474488
165	0.6424590195
166	0.642329013
167	0.6422508217
168	0.6421748869
169	0.6421066679
170	0.6419297714
171	0.6418351431
172	0.6417197234
173	0.6416098708
174	0.641563731
175	0.6415214194
176	0.6414812518
177	0.6412894815
178	0.6411652012
179	0.6410737386
180	0.6410129034
181	0.6409081327
182	0.6408550665
183	0.6407092963
184	0.6405895906
