iter	Passed	Remaining
0	167	1679744
1	178	891771
2	187	626104
3	197	493599
4	204	409316
5	212	353229
6	218	312617
7	225	281955
8	231	256831
9	237	236854
10	243	221084
11	248	207060
12	254	195181
13	259	185103
14	264	176267
15	270	168642
16	275	161956
17	280	155806
18	286	150475
19	293	146492
20	303	144239
21	310	140849
22	315	137058
23	321	133594
24	326	130281
25	331	127359
26	337	124784
27	343	122389
28	349	120062
29	355	118289
30	361	116258
31	368	114841
32	375	113356
33	382	111996
34	391	111571
35	397	110044
36	403	108556
37	408	107125
38	413	105734
39	419	104446
40	425	103417
41	431	102198
42	436	101074
43	441	99984
44	447	98930
45	452	97972
46	458	97049
47	464	96256
48	469	95372
49	474	94468
50	480	93658
51	485	92936
52	491	92262
53	497	91551
54	502	90923
55	508	90225
56	514	89675
57	520	89161
58	525	88503
59	530	87939
60	535	87309
61	541	86768
62	546	86259
63	553	85867
64	558	85423
65	565	85122
66	572	84809
67	579	84688
68	591	85066
69	597	84824
70	603	84425
71	609	84058
72	616	83828
73	622	83540
74	628	83162
75	634	82910
76	641	82662
77	648	82530
78	654	82253
79	661	81982
80	667	81680
81	672	81378
82	678	81115
83	684	80818
84	690	80537
85	696	80305
86	701	79981
87	707	79650
88	713	79449
89	719	79217
90	725	78974
91	731	78739
92	736	78477
93	743	78312
94	748	78049
95	754	77824
96	759	77564
97	764	77292
98	772	77253
99	778	77045
100	784	76920
101	792	76856
102	801	77032
103	807	76826
104	812	76595
105	817	76346
106	823	76183
107	829	75952
108	834	75749
109	840	75527
110	845	75338
111	850	75097
112	856	74922
113	861	74721
114	867	74556
115	872	74375
116	878	74167
117	883	73988
118	888	73785
119	894	73644
120	900	73490
121	905	73325
122	910	73134
123	917	73080
124	925	73151
125	933	73147
126	940	73110
127	946	72996
128	953	72965
129	960	72892
130	967	72870
131	974	72837
132	982	72855
133	988	72779
134	995	72762
135	1002	72700
136	1015	73109
137	1022	73084
138	1028	72988
139	1034	72874
140	1040	72740
141	1046	72628
142	1052	72535
143	1058	72438
144	1064	72338
145	1070	72226
146	1076	72146
147	1082	72039
148	1088	71961
149	1094	71887
150	1100	71773
151	1106	71706
152	1112	71617
153	1118	71517
154	1125	71457
155	1130	71348
156	1136	71252
157	1142	71174
158	1148	71062
159	1154	71000
160	1160	70905
161	1165	70806
162	1173	70797
163	1180	70794
164	1187	70762
165	1192	70667
166	1198	70586
167	1204	70504
168	1210	70405
169	1216	70354
170	1222	70274
171	1228	70181
172	1234	70121
173	1240	70038
174	1246	69954
175	1251	69864
176	1257	69775
177	1263	69712
178	1269	69639
179	1275	69563
180	1281	69506
181	1287	69442
182	1292	69359
183	1300	69375
184	1307	69355
185	1313	69305
186	1319	69246
187	1326	69238
188	1332	69156
189	1337	69075
190	1343	68990
191	1349	68954
192	1355	68862
193	1361	68796
194	1366	68730
195	1373	68711
196	1380	68703
197	1386	68658
198	1392	68606
199	1398	68542
200	1404	68479
201	1411	68447
202	1416	68370
203	1422	68324
204	1428	68253
205	1434	68202
206	1440	68137
207	1445	68031
208	1451	67980
209	1457	67928
210	1463	67893
211	1469	67851
212	1476	67820
213	1481	67762
214	1488	67751
215	1494	67707
216	1501	67678
217	1507	67647
218	1514	67637
219	1523	67705
220	1530	67701
221	1537	67714
222	1544	67724
223	1551	67706
224	1558	67700
225	1565	67706
226	1572	67698
227	1580	67747
228	1592	67942
229	1616	68675
230	1623	68666
231	1630	68630
232	1637	68656
233	1644	68641
234	1651	68638
235	1658	68626
236	1665	68609
237	1672	68602
238	1680	68622
239	1687	68626
240	1693	68585
241	1699	68527
242	1705	68471
243	1711	68420
244	1716	68361
245	1723	68337
246	1729	68289
247	1735	68237
248	1742	68222
249	1748	68205
250	1756	68212
251	1762	68188
252	1770	68197
253	1778	68235
254	1784	68194
255	1793	68246
256	1801	68283
257	1833	69237
258	1845	69407
259	1857	69571
260	1863	69544
261	1873	69619
262	1879	69592
263	1887	69591
264	1895	69625
265	1903	69650
266	1911	69696
267	1918	69676
268	1925	69656
269	1937	69834
270	1948	69954
271	1956	69966
272	1963	69976
273	1972	70030
274	1980	70040
275	1990	70145
276	1999	70172
277	2007	70199
